map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-e2-push.encounter,attack-only,1,Victory,6,0,6,48,9,120,0,100,-1,,0,4,0,3644750863
gym-e2-push.encounter,attack-only,2,Victory,6,0,6,48,7,100,0,100,-1,,0,3,0,1373299427
gym-e2-push.encounter,attack-only,3,Victory,7,0,7,56,8,80,0,100,-1,,0,5,0,2170399364
gym-e2-push.encounter,attack-only,4,Defeat,7,0,7,56,9,0,1,142,-1,,0,7,0,1156247642
gym-e2-push.encounter,attack-only,5,Victory,7,0,7,56,5,120,0,85,-1,,0,4,0,2068589444
gym-e2-push.encounter,attack-only,6,Victory,7,0,7,56,9,120,0,71,-1,,0,3,0,29188646
gym-e2-push.encounter,attack-only,7,Victory,7,0,7,56,8,100,0,85,-1,,0,4,0,1841071517
gym-e2-push.encounter,attack-only,8,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,9,Victory,8,0,8,64,17,90,0,100,-1,,0,7,0,563771900
gym-e2-push.encounter,attack-only,10,Victory,6,0,6,48,5,120,0,100,-1,,0,3,0,3537060331
gym-e2-push.encounter,attack-only,11,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,12,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,13,Victory,7,0,7,56,9,130,0,85,-1,,0,4,0,1918813717
gym-e2-push.encounter,attack-only,14,Victory,6,0,6,48,5,130,0,100,-1,,0,3,0,1778971434
gym-e2-push.encounter,attack-only,15,Victory,7,0,7,56,9,90,0,100,-1,,0,4,0,2437354190
gym-e2-push.encounter,attack-only,16,Victory,7,0,7,56,7,120,0,85,-1,,0,4,0,2729624336
gym-e2-push.encounter,attack-only,17,Victory,5,0,5,40,2,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,18,Victory,5,0,5,40,4,160,0,100,-1,,0,2,0,129804637
gym-e2-push.encounter,attack-only,19,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,20,Victory,6,0,6,48,8,140,0,66,-1,,0,2,0,1241969863
gym-e2-push.encounter,attack-only,21,Victory,6,0,6,48,5,120,0,100,-1,,0,3,0,4200957540
gym-e2-push.encounter,attack-only,22,Victory,6,0,6,48,4,100,0,100,-1,,0,3,0,1596907100
gym-e2-push.encounter,attack-only,23,Victory,7,0,7,56,6,120,0,85,-1,,0,4,0,635378686
gym-e2-push.encounter,attack-only,24,Victory,6,0,6,48,8,120,0,100,-1,,0,5,0,979541031
gym-e2-push.encounter,attack-only,25,Victory,6,0,6,48,7,100,0,100,-1,,0,3,0,1874557249
gym-e2-push.encounter,attack-only,26,Victory,6,0,6,48,4,160,0,83,-1,,0,3,0,931359699
gym-e2-push.encounter,attack-only,27,Victory,6,0,6,48,6,140,0,83,-1,,0,3,0,333211606
gym-e2-push.encounter,attack-only,28,Victory,6,0,6,48,10,100,0,100,-1,,0,3,0,2998892959
gym-e2-push.encounter,attack-only,29,Victory,7,0,7,56,8,100,0,85,-1,,0,4,0,3033805945
gym-e2-push.encounter,attack-only,30,Victory,6,0,6,48,7,160,0,66,-1,,0,4,0,4027248614
gym-e2-push.encounter,attack-only,31,Defeat,7,0,7,56,16,0,1,114,-1,,0,7,0,1413326308
gym-e2-push.encounter,attack-only,32,Victory,10,0,10,80,21,40,0,80,-1,,0,10,0,2027090339
gym-e2-push.encounter,attack-only,33,Victory,5,0,5,40,4,160,0,100,-1,,0,2,0,129804637
gym-e2-push.encounter,attack-only,34,Victory,6,0,6,48,4,120,0,100,-1,,0,5,0,1403059185
gym-e2-push.encounter,attack-only,35,Victory,5,0,5,40,4,160,0,100,-1,,0,2,0,1754846175
gym-e2-push.encounter,attack-only,36,Victory,6,0,6,48,4,150,0,100,-1,,0,3,0,272045289
gym-e2-push.encounter,attack-only,37,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,715700020
gym-e2-push.encounter,attack-only,38,Victory,6,0,6,48,2,140,0,100,-1,,0,3,0,1524219743
gym-e2-push.encounter,attack-only,39,Victory,6,0,6,48,4,100,0,100,-1,,0,5,0,3784146605
gym-e2-push.encounter,attack-only,40,Victory,5,0,5,40,2,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,41,Victory,9,0,9,72,14,40,0,88,-1,,0,7,0,389374410
gym-e2-push.encounter,attack-only,42,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,43,Victory,5,0,5,40,2,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,44,Victory,8,0,8,64,13,100,0,75,-1,,0,8,0,3499422456
gym-e2-push.encounter,attack-only,45,Victory,6,0,6,48,8,120,0,100,-1,,0,3,0,3378628054
gym-e2-push.encounter,attack-only,46,Victory,7,0,7,56,8,80,0,85,-1,,0,6,0,2895610150
gym-e2-push.encounter,attack-only,47,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,48,Victory,5,0,5,40,4,140,0,100,-1,,0,2,0,2113329479
gym-e2-push.encounter,attack-only,49,Victory,6,0,6,48,4,100,0,100,-1,,0,3,0,2116185512
gym-e2-push.encounter,attack-only,50,Victory,6,0,6,48,5,120,0,100,-1,,0,3,0,1985782461
gym-e2-rv_momo_b.encounter,attack-only,1,Victory,7,0,7,56,8,80,0,100,-1,,0,5,0,1584198798
gym-e2-rv_momo_b.encounter,attack-only,2,Victory,7,0,7,56,7,80,0,100,-1,,0,4,0,3773647618
gym-e2-rv_momo_b.encounter,attack-only,3,Defeat,7,0,7,56,16,0,1,128,-1,,0,6,0,1844942871
gym-e2-rv_momo_b.encounter,attack-only,4,Victory,9,0,9,72,8,10,0,111,-1,,0,8,0,681986479
gym-e2-rv_momo_b.encounter,attack-only,5,Victory,8,0,8,64,10,80,0,87,-1,,0,6,0,1960210496
gym-e2-rv_momo_b.encounter,attack-only,6,Victory,8,0,8,64,14,20,0,100,-1,,0,7,0,1386868628
gym-e2-rv_momo_b.encounter,attack-only,7,Victory,7,0,7,56,7,80,0,100,-1,,0,4,0,2275417530
gym-e2-rv_momo_b.encounter,attack-only,8,Victory,7,0,7,56,6,90,0,100,-1,,0,4,0,2815156564
gym-e2-rv_momo_b.encounter,attack-only,9,Victory,10,0,10,80,18,30,0,100,-1,,0,9,0,780552166
gym-e2-rv_momo_b.encounter,attack-only,10,Victory,8,0,8,64,9,40,0,100,-1,,0,5,0,1994152224
gym-e2-rv_momo_b.encounter,attack-only,11,Victory,7,0,7,56,8,60,0,100,-1,,0,4,0,4089523202
gym-e2-rv_momo_b.encounter,attack-only,12,Victory,7,0,7,56,8,60,0,100,-1,,0,4,0,4089523202
gym-e2-rv_momo_b.encounter,attack-only,13,Victory,7,0,7,56,5,80,0,100,-1,,0,4,0,1908169185
gym-e2-rv_momo_b.encounter,attack-only,14,Victory,8,0,8,64,9,50,0,100,-1,,0,5,0,2685457875
gym-e2-rv_momo_b.encounter,attack-only,15,Victory,8,0,8,64,17,20,0,100,-1,,0,5,0,918843678
gym-e2-rv_momo_b.encounter,attack-only,16,Victory,9,0,9,72,15,20,0,88,-1,,0,6,0,4136560667
gym-e2-rv_momo_b.encounter,attack-only,17,Victory,7,0,7,56,6,60,0,100,-1,,0,4,0,2312005618
gym-e2-rv_momo_b.encounter,attack-only,18,Victory,7,0,7,56,8,60,0,100,-1,,0,4,0,4089523202
gym-e2-rv_momo_b.encounter,attack-only,19,Victory,7,0,7,56,7,60,0,100,-1,,0,4,0,3018748642
gym-e2-rv_momo_b.encounter,attack-only,20,Victory,8,0,8,64,12,60,0,75,-1,,0,4,0,3192543566
gym-e2-rv_momo_b.encounter,attack-only,21,Victory,7,0,7,56,5,80,0,100,-1,,0,4,0,2789852414
gym-e2-rv_momo_b.encounter,attack-only,22,Victory,8,0,8,64,8,20,0,100,-1,,0,5,0,1815573921
gym-e2-rv_momo_b.encounter,attack-only,23,Victory,9,0,9,72,12,40,0,88,-1,,0,7,0,3317146633
gym-e2-rv_momo_b.encounter,attack-only,24,Defeat,7,0,7,56,11,0,1,128,-1,,0,7,0,3434724373
gym-e2-rv_momo_b.encounter,attack-only,25,Victory,7,0,7,56,7,80,0,100,-1,,0,4,0,3068614066
gym-e2-rv_momo_b.encounter,attack-only,26,Victory,8,0,8,64,8,20,0,100,-1,,0,5,0,3108456755
gym-e2-rv_momo_b.encounter,attack-only,27,Victory,7,0,7,56,7,60,0,100,-1,,0,4,0,41297385
gym-e2-rv_momo_b.encounter,attack-only,28,Defeat,8,0,8,64,14,0,1,112,-1,,0,5,0,567381795
gym-e2-rv_momo_b.encounter,attack-only,29,Victory,7,0,7,56,9,80,0,100,-1,,0,5,0,810514998
gym-e2-rv_momo_b.encounter,attack-only,30,Victory,8,0,8,64,10,40,0,87,-1,,0,7,0,3551576522
gym-e2-rv_momo_b.encounter,attack-only,31,Defeat,6,0,6,48,10,0,2,133,-1,,0,6,0,416181431
gym-e2-rv_momo_b.encounter,attack-only,32,Defeat,7,0,7,56,15,0,2,142,-1,,0,8,0,2868062093
