map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-e4-rv_masa_b.encounter,counter-reserve,1,Defeat,5,0,5,64,27,0,3,175,-1,,1,10,0,83506095
gym-e4-rv_masa_b.encounter,counter-reserve,2,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,734527801
gym-e4-rv_masa_b.encounter,counter-reserve,3,Defeat,4,0,4,48,17,0,3,200,-1,,1,7,0,2806719591
gym-e4-rv_masa_b.encounter,counter-reserve,4,Defeat,5,0,5,64,26,0,3,175,-1,,1,10,0,2331820049
gym-e4-rv_masa_b.encounter,counter-reserve,5,Defeat,3,0,3,40,17,0,3,160,-1,,1,4,0,1326378875
gym-e4-rv_masa_b.encounter,counter-reserve,6,Defeat,4,0,4,48,26,0,3,166,-1,,1,6,0,1552002276
gym-e4-rv_masa_b.encounter,counter-reserve,7,Defeat,4,0,4,48,16,0,3,200,-1,,1,7,0,2425052911
gym-e4-rv_masa_b.encounter,counter-reserve,8,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,734527801
gym-e4-rv_masa_b.encounter,counter-reserve,9,Defeat,4,0,4,48,22,0,3,200,-1,,1,7,0,171612920
gym-e4-rv_masa_b.encounter,counter-reserve,10,Defeat,3,0,3,40,18,0,3,160,-1,,1,4,0,1591257229
gym-e4-rv_masa_b.encounter,counter-reserve,11,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,734527801
gym-e4-rv_masa_b.encounter,counter-reserve,12,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,734527801
gym-e4-rv_masa_b.encounter,counter-reserve,13,Defeat,5,0,5,64,26,0,2,162,-1,,1,8,0,2204326004
gym-e4-rv_masa_b.encounter,counter-reserve,14,Defeat,4,0,4,48,19,0,3,216,-1,,1,7,0,1050951106
gym-e4-rv_masa_b.encounter,counter-reserve,15,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,1624271520
gym-e4-rv_masa_b.encounter,counter-reserve,16,Defeat,4,0,4,48,19,0,3,183,-1,,1,7,0,3398894188
gym-e4-rv_masa_b.encounter,counter-reserve,17,Defeat,3,0,3,40,19,0,3,200,-1,,1,4,0,2138294360
gym-e4-rv_masa_b.encounter,counter-reserve,18,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,2603606128
gym-e4-rv_masa_b.encounter,counter-reserve,19,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,734527801
gym-e4-rv_masa_b.encounter,counter-reserve,20,Defeat,4,0,4,48,19,0,2,133,-1,,1,6,0,2207578855
gym-e4-rv_masa_b.encounter,counter-reserve,21,Defeat,4,0,4,48,20,0,3,183,-1,,1,7,0,2219343652
gym-e4-rv_masa_b.encounter,counter-reserve,22,Defeat,3,0,3,40,20,0,3,180,-1,,1,4,0,524880645
gym-e4-rv_masa_b.encounter,counter-reserve,23,Defeat,4,0,4,48,22,0,3,200,-1,,1,7,0,1131775564
gym-e4-rv_masa_b.encounter,counter-reserve,24,Defeat,4,0,4,48,16,0,3,200,-1,,1,7,0,2996066393
gym-e4-rv_masa_b.encounter,counter-reserve,25,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,2034420602
gym-e4-rv_masa_b.encounter,counter-reserve,26,Defeat,3,0,3,40,17,0,3,160,-1,,1,4,0,261219666
gym-e4-rv_masa_b.encounter,counter-reserve,27,Defeat,3,0,3,40,17,0,3,160,-1,,1,4,0,261219666
gym-e4-rv_masa_b.encounter,counter-reserve,28,Defeat,4,0,4,48,19,0,3,200,-1,,1,7,0,2332438521
gym-e4-rv_masa_b.encounter,counter-reserve,29,Defeat,4,0,4,48,18,0,3,200,-1,,1,7,0,755358088
gym-e4-rv_masa_b.encounter,counter-reserve,30,Defeat,4,0,4,48,18,0,3,166,-1,,1,5,0,4002734449
gym-e4-rv_masa_b.encounter,counter-reserve,31,Defeat,4,0,4,48,12,0,3,216,-1,,1,7,0,3439467520
gym-e4-rv_masa_b.encounter,counter-reserve,32,Defeat,4,0,4,48,26,0,3,150,-1,,1,7,0,607305175
gym-e4-rv_masa_b.encounter,counter-reserve,33,Defeat,3,0,3,40,17,0,3,180,-1,,1,4,0,823120600
