map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-opening.encounter,corridor-hold,1,Defeat,21,0,20,560,146,622,1,22,13,4:13|1:2|3:12|2:2,0,31,1,840736733
gym-opening.encounter,corridor-hold,2,Defeat,21,0,20,544,156,823,1,14,8,3:8|2:8,0,34,0,1372201818
gym-opening.encounter,corridor-hold,3,Defeat,21,0,20,416,110,620,1,38,-1,,0,21,1,2797063665
gym-opening.encounter,corridor-hold,4,Victory,16,0,16,368,79,553,0,36,2,3:2|2:2,0,20,0,2799658142
gym-opening.encounter,corridor-hold,5,Defeat,21,0,20,408,109,665,1,17,12,3:12|2:2,0,17,1,2717460631
gym-opening.encounter,corridor-hold,6,Victory,12,0,12,320,69,665,0,22,2,3:2|1:7,0,7,0,439139951
gym-opening.encounter,corridor-hold,7,Defeat,21,0,20,392,121,655,1,24,-1,,0,8,1,27521488
gym-opening.encounter,corridor-hold,8,Defeat,21,0,20,552,180,797,1,17,12,3:12|1:7,0,19,0,622173900
gym-opening.encounter,corridor-hold,9,Victory,20,0,20,520,137,670,0,26,12,3:12|4:8,0,16,0,1247636100
gym-opening.encounter,corridor-hold,10,Defeat,21,0,20,520,192,860,1,18,2,2:2|3:8,0,20,0,1684172106
gym-opening.encounter,corridor-hold,11,Defeat,21,0,20,400,99,430,2,38,8,3:8|1:7,0,33,0,569339189
gym-opening.encounter,corridor-hold,12,Defeat,21,0,20,296,67,220,1,75,7,3:7,0,34,0,632848754
gym-opening.encounter,corridor-hold,13,Defeat,21,0,20,320,56,307,1,45,2,1:2|2:12,0,36,0,3549537633
gym-opening.encounter,corridor-hold,14,Defeat,21,0,20,328,69,210,3,58,12,3:12,0,42,1,1306002299
gym-opening.encounter,corridor-hold,15,Victory,17,0,17,456,132,723,0,31,12,3:12|1:8,0,14,0,363970096
gym-opening.encounter,corridor-hold,16,Defeat,21,0,20,440,148,301,1,45,7,3:7,0,34,0,3222066913
gym-opening.encounter,corridor-hold,17,Defeat,21,0,20,440,112,586,1,34,12,3:12,0,31,1,2137384311
gym-opening.encounter,corridor-hold,18,Victory,18,0,18,512,157,574,0,29,7,3:7|1:7,0,22,0,1711557280
gym-opening.encounter,corridor-hold,19,Victory,13,0,13,376,72,460,0,51,8,1:8,0,20,0,4168826865
gym-opening.encounter,corridor-hold,20,Victory,14,0,14,376,76,629,0,38,2,3:2|2:7,0,12,0,3813772082
gym-opening.encounter,corridor-hold,21,Defeat,21,0,20,328,61,230,2,60,7,3:7,0,50,0,144979527
