map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-e2-rv_momo_b.encounter,push-instrument,1,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,2,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,3,Defeat,4,0,4,32,10,0,2,125,-1,,1,5,1,1957521906
gym-e2-rv_momo_b.encounter,push-instrument,4,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,5,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,6,Defeat,4,0,4,32,8,0,3,125,-1,,1,4,0,3624861382
gym-e2-rv_momo_b.encounter,push-instrument,7,Defeat,2,0,2,16,0,0,3,300,-1,,1,1,0,2608730912
gym-e2-rv_momo_b.encounter,push-instrument,8,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,9,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,10,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,11,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,12,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,13,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,14,Defeat,4,0,4,32,2,0,2,175,-1,,1,4,0,4206396696
gym-e2-rv_momo_b.encounter,push-instrument,15,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,16,Defeat,2,0,2,16,0,0,3,300,-1,,1,1,0,2608730912
gym-e2-rv_momo_b.encounter,push-instrument,17,Defeat,3,0,3,24,4,0,2,200,-1,,1,3,1,3615619065
gym-e2-rv_momo_b.encounter,push-instrument,18,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,19,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,20,Defeat,4,0,4,32,5,0,2,125,-1,,1,4,0,4206396696
gym-e2-rv_momo_b.encounter,push-instrument,21,Defeat,4,0,4,32,2,0,2,175,-1,,1,4,0,74063892
gym-e2-rv_momo_b.encounter,push-instrument,22,Defeat,2,0,2,16,0,0,3,300,-1,,1,1,0,2608730912
gym-e2-rv_momo_b.encounter,push-instrument,23,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,24,Defeat,4,0,4,32,2,0,2,175,-1,,1,4,0,74063892
gym-e2-rv_momo_b.encounter,push-instrument,25,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,26,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
gym-e2-rv_momo_b.encounter,push-instrument,27,Defeat,1,0,1,8,0,0,3,300,-1,,1,0,2,1957561246
