map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-opening,corridor-hold,1,Victory,54,0,54,1336,563,708,0,15,2,1:2|3:8|2:13,0,81,0,4271461087
gym-opening,corridor-hold,2,Defeat,12,0,12,248,65,0,5,70,13,3:13,0,32,1,472844992
gym-opening,corridor-hold,3,Victory,42,0,42,904,337,391,0,22,8,3:8|4:8|2:8,0,62,0,3240817206
gym-opening,corridor-hold,4,Victory,44,0,44,928,328,310,0,20,8,1:8|2:7|4:12,0,29,0,3975938405
gym-opening,corridor-hold,5,Victory,25,0,25,800,312,964,0,8,2,2:2|1:7|3:12,0,5,0,429791519
gym-opening,corridor-hold,6,Victory,35,0,35,880,331,722,0,20,2,1:2|3:8|2:12,0,31,0,3134010010
gym-opening,corridor-hold,7,InProgress,61,1,60,648,221,220,2,29,2,3:2|2:8,0,76,1,1525105101
gym-opening,corridor-hold,8,InProgress,61,1,60,1064,412,672,1,15,8,3:8|2:7,0,21,1,1033329833
gym-opening,corridor-hold,9,InProgress,61,1,60,640,218,230,2,43,2,3:2,0,57,1,3087422292
gym-opening,corridor-hold,10,Victory,51,0,51,928,357,280,0,28,7,1:7|3:8,0,43,0,3788167075
gym-opening,corridor-hold,11,InProgress,61,1,60,656,239,170,1,30,2,1:2,0,58,1,4043436690
gym-opening,corridor-hold,12,Defeat,16,0,16,248,45,0,3,77,2,3:2,0,36,1,2684213870
gym-opening,corridor-hold,13,InProgress,61,1,60,616,206,225,2,33,2,3:2,0,42,1,3658062114
gym-opening,corridor-hold,14,Victory,37,0,37,944,331,735,0,28,7,2:7|1:13,0,33,0,1804315760
gym-opening,corridor-hold,15,Victory,41,0,41,1312,484,858,0,11,8,3:8|4:7|1:7,0,44,0,2070483067
gym-opening,corridor-hold,16,Defeat,17,0,17,296,88,0,5,70,2,2:2,0,37,2,1825420735
gym-opening,corridor-hold,17,Defeat,17,0,17,344,56,0,4,72,7,2:7,0,44,1,1897648044
gym-opening,corridor-hold,18,Defeat,12,0,12,264,68,0,4,75,-1,,0,29,2,145745430
gym-opening,corridor-hold,19,Defeat,19,0,19,336,78,0,3,64,2,3:2,0,83,0,2917915411
gym-opening,corridor-hold,20,InProgress,61,1,60,1464,623,720,1,16,2,3:2|2:2|1:2,0,41,0,4044000944
gym-opening,corridor-hold,21,Victory,26,0,26,584,171,497,0,42,2,2:2|3:12|1:7,0,48,0,3822350733
gym-opening,corridor-hold,22,Victory,55,0,55,968,384,504,0,19,8,2:8|3:13,0,52,0,3588284354
gym-opening,corridor-hold,23,Victory,36,0,36,888,288,639,0,21,2,3:2|1:2|2:7,0,44,0,2237282842
gym-opening,corridor-hold,24,InProgress,61,1,60,640,230,230,2,28,13,3:13,0,88,0,3356053279
gym-opening,corridor-hold,25,Victory,28,0,28,712,211,663,0,20,2,1:2|2:2|3:7,0,23,0,3506099024
gym-opening,corridor-hold,26,Defeat,15,0,15,320,67,0,3,72,12,3:12,0,38,1,2178584606
gym-opening,corridor-hold,27,Defeat,12,0,12,208,35,0,4,88,-1,,0,18,2,2633862695
gym-opening,corridor-hold,28,Victory,47,0,47,824,284,511,0,27,2,2:2|3:8,0,59,0,1892594030
gym-opening,corridor-hold,29,Victory,32,0,32,808,255,550,0,33,2,1:2|2:2|3:8,0,21,0,2201631314
gym-opening,corridor-hold,30,Defeat,13,0,13,240,44,0,3,83,2,3:2,0,30,1,3621243872
gym-opening,corridor-hold,31,Victory,18,0,18,376,56,140,0,57,8,3:8|2:7,0,32,0,2943619244
gym-opening,corridor-hold,32,Defeat,16,0,16,264,49,0,3,69,2,2:2,0,31,2,1883817301
gym-opening,corridor-hold,33,InProgress,61,1,60,1232,492,440,1,17,8,3:8|4:7,0,47,0,3414259888
gym-opening,corridor-hold,34,Victory,32,0,32,792,269,746,0,23,2,3:2|2:2,0,20,0,3322829225
gym-opening,corridor-hold,35,Victory,17,0,17,544,163,959,0,11,8,3:8|1:7|2:7|4:12,0,7,0,2069840271
gym-opening,corridor-hold,36,InProgress,61,1,60,1088,414,653,2,20,12,4:12|3:7,0,113,0,3762278372
gym-opening,corridor-hold,37,InProgress,61,1,60,648,216,210,2,28,7,3:7,0,45,1,1855323146
gym-opening,corridor-hold,38,InProgress,61,1,60,632,255,230,2,35,7,3:7,0,51,1,3930328455
gym-opening,corridor-hold,39,Victory,19,0,19,496,115,839,0,19,2,3:2|1:7,0,19,0,1894924242
gym-opening,corridor-hold,40,Defeat,15,0,15,256,44,0,3,75,7,3:7,0,35,2,2990780809
gym-opening,corridor-hold,41,Defeat,10,0,10,184,43,0,6,104,-1,,0,27,2,1247002343
gym-opening,corridor-hold,42,InProgress,61,1,60,1248,528,530,1,20,8,2:8|3:7|1:8,0,75,0,2312432178
gym-opening,corridor-hold,43,InProgress,61,1,60,696,221,220,1,29,2,1:2|3:8,0,60,1,3405456014
gym-opening,corridor-hold,44,Victory,27,0,27,568,112,213,0,36,12,3:12|1:2|2:7,0,54,0,2045520717
