map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-opening,corridor-hold,1,Defeat,21,0,20,560,144,622,1,22,13,4:13|1:2|3:12|2:2,0,31,1,840736733
gym-opening,corridor-hold,2,Defeat,21,0,20,544,156,703,1,17,8,3:8|2:8,0,34,0,2929877382
gym-opening,corridor-hold,3,Defeat,21,0,20,416,109,620,1,38,-1,,0,21,1,2797063665
gym-opening,corridor-hold,4,Victory,18,0,18,472,148,642,0,30,7,3:7|2:2|1:7,0,15,0,2738572902
gym-opening,corridor-hold,5,Defeat,21,0,20,408,109,665,1,17,12,3:12|2:2,0,17,1,2717460631
gym-opening,corridor-hold,6,Victory,14,0,14,368,93,660,0,28,8,3:8,0,10,0,3577211665
gym-opening,corridor-hold,7,Defeat,21,0,20,392,120,650,1,24,-1,,0,8,1,4224376613
gym-opening,corridor-hold,8,Victory,14,0,14,448,127,907,0,19,7,2:7,0,13,0,1185668121
gym-opening,corridor-hold,9,Victory,20,0,20,520,136,670,0,26,12,3:12|4:8,0,16,0,1247636100
gym-opening,corridor-hold,10,Defeat,21,0,20,424,121,580,2,22,2,2:2|3:8,0,27,0,1084049513
gym-opening,corridor-hold,11,Defeat,21,0,20,400,99,430,2,38,8,3:8|1:7,0,33,0,569339189
gym-opening,corridor-hold,12,Defeat,21,0,20,296,67,220,1,75,7,3:7,0,34,0,632848754
gym-opening,corridor-hold,13,Defeat,21,0,20,320,56,307,1,45,2,1:2|2:12,0,36,0,3549537633
gym-opening,corridor-hold,14,Defeat,21,0,20,328,68,210,3,58,12,3:12,0,42,1,1306002299
gym-opening,corridor-hold,15,Victory,17,0,17,456,132,723,0,31,12,3:12|1:8,0,14,0,363970096
gym-opening,corridor-hold,16,Defeat,21,0,20,440,148,301,1,45,7,3:7,0,34,0,3222066913
gym-opening,corridor-hold,17,Defeat,21,0,20,440,109,586,1,34,12,3:12,0,31,1,2137384311
gym-opening,corridor-hold,18,Victory,18,0,18,512,151,554,0,29,7,3:7|1:7,0,22,0,2381996664
gym-opening,corridor-hold,19,Victory,13,0,13,376,72,460,0,51,8,1:8,0,20,0,4168826865
gym-opening,corridor-hold,20,Defeat,21,0,20,416,136,460,1,32,-1,,0,24,1,877718269
gym-opening,corridor-hold,21,Defeat,21,0,20,328,61,230,2,60,7,3:7,0,50,0,144979527
gym-opening,corridor-hold,22,Defeat,21,0,20,400,135,595,1,30,13,3:13|2:8,0,20,0,3790199941
gym-opening,corridor-hold,23,Victory,12,0,12,336,82,648,0,28,7,2:7|3:7,0,10,0,900109356
gym-opening,corridor-hold,24,Victory,19,0,19,608,202,899,0,15,8,3:8|4:8|2:8,0,11,0,403974734
gym-opening,corridor-hold,25,Defeat,21,0,20,328,67,235,3,53,13,3:13,0,59,0,2404713906
gym-opening,corridor-hold,26,Victory,18,0,18,576,179,851,0,23,13,1:13|3:12,0,16,0,758977218
gym-opening,corridor-hold,27,Defeat,13,0,13,224,38,0,3,89,-1,,0,20,1,1181791321
gym-opening,corridor-hold,28,Defeat,21,0,20,312,80,403,1,41,7,2:7,0,16,1,3732004939
gym-opening,corridor-hold,29,Defeat,21,0,20,512,161,765,1,26,8,1:8,0,18,0,2545038323
gym-opening,corridor-hold,30,Defeat,21,0,20,464,114,665,2,29,12,4:12|2:2,0,38,0,2562134794
gym-opening,corridor-hold,31,Defeat,21,0,20,520,194,764,1,21,-1,,0,11,1,731279123
gym-opening,corridor-hold,32,Victory,12,0,12,328,76,705,0,29,7,1:7,0,10,0,3261716074
gym-opening,corridor-hold,33,Defeat,21,0,20,408,139,555,1,33,2,3:2,0,17,0,2619782890
gym-opening,corridor-hold,34,Defeat,21,0,20,424,108,457,1,49,2,3:2,0,34,1,3920820170
gym-opening,corridor-hold,35,Victory,12,0,12,384,68,836,0,31,12,3:12|1:13|2:8,0,19,0,3124657897
gym-opening,corridor-hold,36,Victory,16,0,16,368,74,200,0,67,12,4:12|3:7,0,27,0,2380004145
gym-opening,corridor-hold,37,Defeat,21,0,20,416,122,512,1,40,2,2:2,0,19,1,2858648833
gym-opening,corridor-hold,38,Defeat,21,0,20,360,83,200,2,60,2,3:2,0,44,1,2064978993
gym-opening,corridor-hold,39,Victory,15,0,15,480,137,846,0,23,8,4:8|1:8,0,12,0,2770847470
gym-opening,corridor-hold,40,Victory,19,0,19,504,144,692,0,31,2,2:2|3:7,0,17,0,3122660273
gym-opening,corridor-hold,41,Defeat,21,0,20,512,173,702,1,29,8,3:8|2:8,0,18,0,2042987010
gym-opening,corridor-hold,42,Defeat,21,0,20,432,131,641,1,31,7,2:7|3:7,0,23,0,2005447774
gym-opening,corridor-hold,43,Victory,12,0,12,360,59,580,0,42,8,3:8,0,19,0,2054021240
gym-opening,corridor-hold,44,Defeat,21,0,20,496,151,777,1,22,2,1:2|2:12,0,16,1,3279218963
gym-opening,corridor-hold,45,Defeat,21,0,20,440,111,300,2,29,12,1:12|2:2|3:12,0,35,0,46936772
gym-opening,corridor-hold,46,Defeat,21,0,20,344,89,210,2,65,12,3:12,0,31,1,1832789200
gym-opening,corridor-hold,47,Victory,12,0,12,320,49,648,0,42,7,3:7,0,11,0,258912256
gym-opening,corridor-hold,48,Defeat,21,0,20,536,179,544,1,29,12,1:12|4:8,0,22,0,3311526785
gym-opening,corridor-hold,49,Defeat,21,0,20,424,121,495,1,26,8,3:8,0,17,1,661840628
gym-opening,corridor-hold,50,Defeat,21,0,20,520,203,835,1,15,7,1:7,0,10,1,2314294707
gym-opening,corridor-hold,51,Defeat,21,0,20,536,191,652,1,31,2,4:2|3:8,0,19,1,4147289606
gym-opening,corridor-hold,52,Victory,11,0,11,312,59,757,0,28,8,1:8,0,8,0,1036329101
gym-opening,corridor-hold,53,Defeat,21,0,20,400,129,635,1,28,2,3:2,0,11,0,3999914212
gym-opening,corridor-hold,54,Defeat,21,0,20,520,161,739,1,16,2,2:2|3:7,0,18,1,2797008047
gym-opening,corridor-hold,55,Victory,16,0,16,352,92,575,0,34,12,3:12|2:8,0,19,0,83509961
gym-opening,corridor-hold,56,Victory,20,0,20,640,197,891,0,18,13,1:13|4:7|2:12|3:7,0,28,0,4207288630
gym-opening,corridor-hold,57,Defeat,21,0,20,400,126,680,1,32,-1,,0,12,1,842172339
gym-opening,corridor-hold,58,Defeat,21,0,20,392,96,210,1,71,2,3:2|1:7,0,41,0,2457081513
gym-opening,corridor-hold,59,Defeat,21,0,20,440,133,371,1,30,-1,,0,13,1,3960854324
gym-opening,corridor-hold,60,Victory,20,0,20,448,139,475,0,25,8,4:8|2:7,0,11,0,4274946020
gym-opening,corridor-hold,61,Victory,16,0,16,464,105,543,0,31,7,1:7,0,18,0,2195190382
gym-opening,corridor-hold,62,Defeat,21,0,20,520,197,832,1,13,2,1:2|2:7,0,11,0,4084961838
gym-opening,corridor-hold,63,Victory,20,0,20,448,98,488,0,25,2,3:2|1:2|2:7,0,26,0,1015658085
gym-opening,corridor-hold,64,Defeat,21,0,20,432,112,486,1,37,8,2:8,0,18,0,707994828
gym-opening,corridor-hold,65,Victory,13,0,13,352,61,701,0,36,8,1:8,0,11,0,2836415275
gym-opening,corridor-hold,66,Defeat,21,0,20,408,130,612,1,37,-1,,0,16,1,2733874067
gym-opening,corridor-hold,67,Defeat,21,0,20,528,170,613,1,31,12,4:12,0,23,1,487840292
gym-opening,corridor-hold,68,Defeat,21,0,20,384,94,155,1,56,2,1:2|3:8,0,38,0,2725175623
gym-opening,corridor-hold,69,Defeat,21,0,20,640,195,793,1,23,12,4:12|3:8,0,13,0,83824841
gym-opening,corridor-hold,70,Victory,18,0,18,456,116,622,0,22,7,2:7|3:8,0,16,0,3395901647
gym-opening,corridor-hold,71,Defeat,21,0,20,528,154,811,1,19,12,3:12,0,11,1,3812637409
gym-opening,corridor-hold,72,Defeat,21,0,20,520,144,825,2,15,7,3:7|1:2,0,32,0,1745749660
gym-opening,corridor-hold,73,Defeat,21,0,20,448,103,665,1,19,12,3:12|2:8,0,22,0,4208336946
gym-opening,corridor-hold,74,Defeat,21,0,20,416,116,501,2,25,13,1:13|2:2,0,27,1,2044912666
gym-opening,corridor-hold,75,Defeat,15,0,15,224,36,0,3,85,13,3:13,0,40,1,562732049
gym-opening,corridor-hold,76,Defeat,21,0,20,400,117,615,1,32,8,3:8|2:8,0,19,0,284428801
gym-opening,corridor-hold,77,Victory,13,0,13,352,52,845,0,34,8,2:8,0,10,0,3749028174
gym-opening,corridor-hold,78,Defeat,21,0,20,408,93,300,1,41,12,1:12,0,24,0,3907138671
gym-opening,corridor-hold,79,Defeat,21,0,20,640,197,938,1,17,12,4:12|3:7|2:7,0,12,1,1165016181
gym-opening,corridor-hold,80,Defeat,21,0,20,464,127,468,1,29,-1,,0,20,1,3175903554
gym-opening,corridor-hold,81,Defeat,21,0,20,432,120,445,1,31,12,3:12,0,14,1,382323700
gym-opening,corridor-hold,82,Defeat,21,0,20,440,131,645,1,16,7,3:7|2:13,0,23,0,1674872763
gym-opening,corridor-hold,83,Victory,20,0,20,528,133,638,0,36,2,1:2|2:7,0,18,0,2220733977
gym-opening,corridor-hold,84,Victory,17,0,17,456,122,787,0,19,12,2:12|3:8|1:7,0,7,0,1208404077
gym-opening,corridor-hold,85,Defeat,16,0,16,352,76,0,2,75,13,1:13|3:7,0,39,0,382162173
gym-opening,corridor-hold,86,Defeat,21,0,20,424,130,630,1,32,8,3:8,0,11,1,503175799
gym-opening,corridor-hold,87,Victory,16,0,16,424,91,714,0,32,7,2:7|1:7,0,15,0,1177523976
gym-opening,corridor-hold,88,Defeat,21,0,20,520,187,754,1,32,7,2:7|3:7,0,13,0,1398947802
gym-opening,corridor-hold,89,Victory,10,0,10,320,63,900,0,32,8,4:8,0,8,0,396419329
gym-opening,corridor-hold,90,Defeat,21,0,20,520,177,785,1,15,12,3:12|4:8,0,9,1,325782659
gym-opening,corridor-hold,91,Defeat,21,0,20,336,82,210,1,52,13,3:13,0,22,1,1965984892
gym-opening,corridor-hold,92,Defeat,12,0,12,216,37,0,3,92,13,3:13,0,27,1,2419206482
gym-opening,corridor-hold,93,Defeat,15,0,15,288,51,0,2,63,12,4:12|3:2,0,37,1,3263592482
gym-opening,corridor-hold,94,Defeat,21,0,20,416,101,450,1,44,12,3:12|1:2,0,26,1,681794262
gym-opening,corridor-hold,95,Defeat,21,0,20,408,129,420,1,52,-1,,0,21,1,1319505274
gym-opening,corridor-hold,96,Defeat,21,0,20,400,114,591,1,28,12,1:12,0,16,1,1536197755
gym-opening,corridor-hold,97,Defeat,21,0,20,320,84,200,2,60,-1,,0,26,1,1282507709
gym-opening,corridor-hold,98,Defeat,21,0,20,408,93,449,1,45,7,3:7|2:7,0,20,0,635928181
gym-opening,corridor-hold,99,Victory,20,0,20,424,102,354,0,35,7,1:7,0,23,0,2982308934
gym-opening,corridor-hold,100,Defeat,21,0,20,288,46,100,1,61,12,3:12,0,25,1,2831917619
gym-opening,corridor-hold,101,Defeat,21,0,20,384,110,411,1,37,8,3:8|1:13,0,39,0,2375436358
gym-opening,corridor-hold,102,Defeat,21,0,20,432,114,417,1,44,12,1:12|3:13,0,22,1,1776330706
gym-opening,corridor-hold,103,Victory,14,0,14,376,92,659,0,40,12,1:12|2:7,0,12,0,526716017
gym-opening,corridor-hold,104,Defeat,16,0,16,240,61,0,5,60,12,2:12,0,42,0,3459508349
gym-opening,corridor-hold,105,Victory,18,0,18,432,104,366,0,50,7,1:7|3:12,0,27,0,752116817
gym-opening,corridor-hold,106,Defeat,21,0,20,512,187,792,1,20,7,1:7,0,14,0,3623530624
gym-opening,corridor-hold,107,Defeat,21,0,20,400,115,591,1,46,2,2:2,0,20,0,1996241676
gym-opening,corridor-hold,108,Defeat,21,0,20,328,71,235,1,51,12,3:12,0,25,1,1225701315
gym-opening,corridor-hold,109,Defeat,21,0,20,512,167,562,1,26,8,4:8|2:7,0,18,0,3182821678
gym-opening,corridor-hold,110,Defeat,17,0,17,352,93,0,2,63,13,1:13|3:7,0,34,0,3872591177
gym-opening,corridor-hold,111,Defeat,21,0,20,456,132,655,3,19,8,3:8|1:13|2:2,0,44,0,3954006259
gym-opening,corridor-hold,112,Victory,18,0,18,368,94,240,0,50,7,3:7,0,35,0,2853543962
gym-opening,corridor-hold,113,Defeat,21,0,20,448,124,541,1,35,8,4:8|3:13,0,20,0,121587503
gym-opening,corridor-hold,114,Defeat,21,0,20,512,185,789,1,21,7,2:7,0,37,0,2632904691
gym-opening,corridor-hold,115,Victory,15,0,15,464,122,782,0,27,8,3:8|1:2|4:8,0,12,0,3017783242
gym-opening,corridor-hold,116,Victory,19,0,19,608,178,961,0,17,12,4:12|3:12|2:7|1:8,0,14,0,288248068
gym-opening,corridor-hold,117,Victory,15,0,15,336,74,307,0,45,13,1:13|3:2,0,24,0,184038618
gym-opening,corridor-hold,118,Victory,18,0,18,576,160,741,0,25,8,1:8|3:12,0,23,0,341982644
gym-opening,corridor-hold,119,Defeat,21,0,20,384,106,568,1,37,-1,,0,19,1,438949792
gym-opening,corridor-hold,120,Victory,19,0,19,504,186,730,0,33,12,3:12|2:2,0,11,0,3206002877
gym-opening,corridor-hold,121,Defeat,21,0,20,544,185,556,1,32,7,3:7,0,22,0,2870184542
gym-opening,corridor-hold,122,Defeat,21,0,20,312,64,160,4,64,2,3:2,0,64,0,1614411733
gym-opening,corridor-hold,123,Defeat,21,0,20,512,188,750,1,15,12,1:12,0,10,1,2225412490
gym-opening,corridor-hold,124,Defeat,21,0,20,520,177,739,1,32,2,3:2|1:2|2:7,0,18,0,2456297027
gym-opening,corridor-hold,125,Defeat,21,0,20,456,97,406,1,38,-1,,0,27,1,1877969747
gym-opening,corridor-hold,126,Defeat,21,0,20,512,171,717,1,26,8,3:8|1:8,0,17,0,2957047609
gym-opening,corridor-hold,127,Defeat,21,0,20,312,86,215,1,43,2,3:2,0,23,1,2901087716
gym-opening,corridor-hold,128,Victory,16,0,16,376,74,495,0,42,8,3:8,0,25,0,4164056852
gym-opening,corridor-hold,129,Defeat,21,0,20,344,82,285,3,67,2,3:2,0,48,0,194345661
gym-opening,corridor-hold,130,Defeat,21,0,20,448,107,324,1,44,13,1:13|3:2,0,34,0,1596278401
gym-opening,corridor-hold,131,Defeat,21,0,20,440,116,576,1,25,8,3:8,0,18,0,3251922305
gym-opening,corridor-hold,132,Defeat,13,0,13,256,31,0,1,75,8,3:8,0,27,0,413393095
gym-opening,corridor-hold,133,Defeat,21,0,20,408,119,646,1,35,2,2:2,0,18,1,2488275348
gym-opening,corridor-hold,134,Victory,10,0,10,248,30,685,0,38,8,3:8,0,6,0,2281188903
gym-opening,corridor-hold,135,Defeat,21,0,20,504,192,804,1,36,13,1:13|3:7,0,25,0,1575041427
gym-opening,corridor-hold,136,Defeat,21,0,20,416,109,609,1,36,2,3:2,0,20,1,4217100907
gym-opening,corridor-hold,137,Defeat,21,0,20,608,212,733,1,17,2,3:2|4:2|2:8,0,8,0,4250413874
gym-opening,corridor-hold,138,Victory,20,0,20,424,116,563,0,28,13,3:13|2:8,0,16,0,107902504
gym-opening,corridor-hold,139,Victory,18,0,18,456,137,673,0,38,8,3:8|1:7,0,15,0,3571450350
gym-opening,corridor-hold,140,Defeat,21,0,20,392,134,523,1,28,2,3:2|2:13,0,18,1,3744261719
gym-opening,corridor-hold,141,Defeat,21,0,20,416,133,626,1,30,-1,,0,11,1,356523665
gym-opening,corridor-hold,142,Defeat,21,0,20,432,110,663,1,24,-1,,0,16,1,1255245954
gym-opening,corridor-hold,143,Defeat,21,0,20,504,142,381,1,36,13,4:13|1:12|3:7,0,32,0,484722657
gym-opening,corridor-hold,144,Defeat,21,0,20,392,122,611,2,20,2,3:2|2:12,0,24,1,2520409028
gym-opening,corridor-hold,145,Defeat,21,0,20,360,97,345,1,31,2,3:2|2:12,0,28,0,853083394
gym-opening,corridor-hold,146,Victory,20,0,20,528,146,734,0,24,7,1:7,0,25,0,3414679984
gym-opening,corridor-hold,147,Defeat,21,0,20,624,220,790,1,25,8,3:8|4:8,0,20,0,4147985041
gym-opening,corridor-hold,148,Victory,19,0,19,552,170,813,0,18,12,4:12|2:2|3:8,0,22,0,294056372
gym-opening,corridor-hold,149,Defeat,21,0,20,424,106,533,1,45,8,3:8,0,21,0,1875364592
gym-opening,corridor-hold,150,Defeat,21,0,20,528,154,852,1,21,12,3:12,0,13,0,3303740603
gym-opening,corridor-hold,151,Defeat,21,0,20,568,151,603,1,26,12,4:12|1:2|3:2,0,31,1,1021749149
gym-opening,corridor-hold,152,Defeat,21,0,20,408,103,506,1,35,12,3:12|2:13,0,32,0,3463798989
gym-opening,corridor-hold,153,Victory,18,0,18,480,145,376,0,41,7,4:7|1:7,0,25,0,2921288011
gym-opening,corridor-hold,154,Defeat,21,0,20,360,73,255,2,62,7,3:7,0,34,0,24185172
gym-opening,corridor-hold,155,Victory,19,0,19,608,217,843,0,21,12,4:12|1:7|2:7|3:8,0,12,0,2248945969
gym-opening,corridor-hold,156,Victory,17,0,17,344,93,554,0,41,7,3:7|2:8,0,11,0,3347326267
gym-opening,corridor-hold,157,Defeat,21,0,20,312,85,225,1,82,13,3:13,0,31,1,3175832087
gym-opening,corridor-hold,158,Defeat,17,0,17,320,67,0,3,62,12,3:12|1:13,0,26,0,626137847
gym-opening,corridor-hold,159,Defeat,21,0,20,512,185,875,1,15,12,4:12,0,8,1,3707412554
gym-opening,corridor-hold,160,Defeat,21,0,20,456,118,549,1,26,12,3:12|2:7,0,25,0,656639096
gym-opening,corridor-hold,161,Defeat,21,0,20,640,237,815,1,17,2,2:2|4:2|3:12|1:7,0,13,0,2699295440
gym-opening,corridor-hold,162,Victory,20,0,20,640,226,733,0,25,12,4:12|1:2|2:7,0,15,0,2865676145
gym-opening,corridor-hold,163,Victory,14,0,14,312,55,411,0,35,2,2:2|3:12,0,19,0,2110842680
gym-opening,corridor-hold,164,Defeat,21,0,20,408,125,458,1,35,13,1:13|3:7,0,22,1,648456236
gym-opening,corridor-hold,165,Defeat,21,0,20,416,110,584,1,46,7,2:7,0,25,0,1503877724
gym-opening,corridor-hold,166,Defeat,21,0,20,416,114,472,1,48,12,1:12|2:7,0,23,0,2552476376
gym-opening,corridor-hold,167,Defeat,21,0,20,520,159,855,1,27,13,3:13,0,13,1,15079335
gym-opening,corridor-hold,168,Victory,19,0,19,512,177,823,0,23,7,2:7,0,8,0,2231636795
gym-opening,corridor-hold,169,Defeat,21,0,20,392,93,482,1,40,2,3:2|2:7,0,28,0,3325748030
gym-opening,corridor-hold,170,Defeat,21,0,20,528,193,834,1,16,12,3:12,0,13,1,3109770295
gym-opening,corridor-hold,171,Defeat,21,0,20,344,90,290,2,53,13,3:13,0,43,1,259318484
gym-opening,corridor-hold,172,Defeat,21,0,20,312,64,70,2,61,2,3:2,0,52,0,3751742002
gym-opening,corridor-hold,173,Defeat,21,0,20,440,122,286,1,40,2,3:2,0,33,0,2123958836
gym-opening,corridor-hold,174,Defeat,21,0,20,480,139,613,1,26,2,3:2|2:12,0,24,0,2669841999
gym-opening,corridor-hold,175,Defeat,21,0,20,544,197,590,1,23,13,3:13,0,18,1,945341393
gym-opening,corridor-hold,176,Defeat,21,0,20,304,81,225,1,52,7,3:7,0,17,1,4190361282
gym-opening,corridor-hold,177,Defeat,21,0,20,520,188,738,1,23,2,2:2|1:2,0,15,1,2695347742
